YEAR,MONTH,PU_ZONE,TRIPS
2098,9,Midtown North,1
2090,12,JFK Airport,1
2088,1,Bloomingdale,1
2088,1,Central Harlem,1
2084,11,Upper West Side North,2
2084,11,TriBeCa/Civic Center,1
2084,11,Upper East Side North,1
2084,11,East Chelsea,1
2084,11,Murray Hill,1
2084,11,Gramercy,1
2084,11,Greenwich Village North,1
2081,6,Flushing Meadows-Corona Park,1
2070,8,Queensbridge/Ravenswood,1
2066,12,UN/Turtle Bay South,1
2062,8,Astoria,1
2058,12,Upper East Side South,1
2058,12,Penn Station/Madison Sq West,1
2058,12,Lincoln Square East,1
2053,7,,1
2053,3,Brooklyn Heights,1
2042,12,Midtown East,1
2041,11,Lenox Hill East,1
2041,8,Queensbridge/Ravenswood,1
2041,6,Upper West Side South,1
2041,3,Manhattan Valley,1
2038,2,Yorkville West,1
2038,2,West Village,1
2038,2,Greenwich Village North,1
2038,2,Yorkville East,1
2037,11,Murray Hill,1
2035,9,Queensbridge/Ravenswood,1
2033,4,Yorkville West,1
2033,4,Gramercy,1
2033,4,Sutton Place/Turtle Bay North,1
2032,2,JFK Airport,1
2031,2,Lenox Hill West,1
2031,2,Upper East Side North,1
2030,11,Central Harlem North,2
2029,11,Prospect Heights,1
2029,11,Union Sq,1
2029,11,Murray Hill,1
2029,11,,1
2029,5,Lower East Side,1
2029,5,TriBeCa/Civic Center,1
2029,5,Midtown East,1
2028,12,JFK Airport,1
2026,12,JFK Airport,1
2026,6,UN/Turtle Bay South,1
2026,6,LaGuardia Airport,1
2026,2,Midtown North,1
2026,2,Midtown Center,1
2025,3,Union Sq,1
2025,3,Clinton East,1
2025,2,East Chelsea,1
2025,1,East Harlem North,6
2025,1,Jamaica,3
2025,1,East Tremont,1
2025,1,Central Park,1
2025,1,Midtown South,1
2025,1,East Harlem South,1
2024,12,Upper East Side South,180951
2024,12,Upper East Side North,161885
2024,12,Midtown Center,157064
2024,12,JFK Airport,155662
2024,12,Penn Station/Madison Sq West,128786
2024,12,Midtown East,125798
2024,12,Lincoln Square East,124502
2024,12,Times Sq/Theatre District,120999
2024,12,LaGuardia Airport,113766
2024,12,Midtown North,108331
2024,12,Upper West Side South,105954
2024,12,Union Sq,98466
2024,12,Murray Hill,97723
2024,12,East Chelsea,95712
2024,12,Clinton East,92492
2024,12,Midtown South,84438
2024,12,Lenox Hill West,83149
2024,12,East Village,78383
2024,12,West Village,76686
2024,12,Gramercy,74350
2024,12,Upper West Side North,70886
2024,12,Lenox Hill East,69245
2024,12,Yorkville West,68226
2024,12,Central Park,62646
2024,12,West Chelsea/Hudson Yards,62567
2024,12,Sutton Place/Turtle Bay North,61284
2024,12,Flatiron,55868
2024,12,Garment District,54011
2024,12,Greenwich Village South,51422
2024,12,Greenwich Village North,51145
2024,12,Yorkville East,48757
2024,12,TriBeCa/Civic Center,47282
2024,12,Little Italy/NoLiTa,39439
2024,12,Lincoln Square West,39357
2024,12,UN/Turtle Bay South,39170
2024,12,Lower East Side,36962
2024,12,Kips Bay,36205
2024,12,Meatpacking/West Village West,34151
2024,12,SoHo,30524
2024,12,East Harlem South,29158
2024,12,Manhattan Valley,28603
2024,12,Battery Park City,21194
2024,12,East Harlem North,21009
2024,12,Financial District North,20616
2024,12,World Trade Center,20348
2024,12,Clinton West,20125
2024,12,Morningside Heights,19845
2024,12,Hudson Sq,17834
2024,12,East Elmhurst,12390
2024,12,Central Harlem,12197
2024,12,Financial District South,11253
2024,12,Bloomingdale,9590
2024,12,,9585
2024,12,Seaport,7146
2024,12,Chinatown,6266
2024,12,Alphabet City,5895
2024,12,Central Harlem North,5623
2024,12,Long Island City/Hunters Point,5120
2024,12,Stuy Town/Peter Cooper Village,4966
2024,12,Downtown Brooklyn/MetroTech,4888
