run_id,service_type,source_year,source_months,rows,when_utc,raw_table,mode
93f4f3ec-9adf-45f2-9f0d-0e58319124e5,yellow,2022,"7,8",6288451,2025-10-12T22:53:20Z,RAW_TLC_TRIPS,SKIP
0f8867f6-da0c-4d70-9484-f95230e8019f,green,2022,"7,8",129814,2025-10-12T22:54:38Z,RAW_TLC_TRIPS_green,SKIP
54175e99-8e36-4585-8a24-9a81b0a0f22b,green,2020,"7,8",152830,2025-10-17T01:49:25Z,RAW_TLC_TRIPS_green,SKIP
ac2ae37a-5a10-411a-a886-1ab3f54d8845,green,2015,"1,2,3,4,5,6,7,8,9,10,11,12",19202892,2025-10-18T12:32:25Z,RAW_TLC_TRIPS_green,SKIP
a1a17cc3-969b-4ab4-84f3-a88b665f748b,green,2016,"1,2,3,4,5,6,7,8,9,10,11,12",16352524,2025-10-18T12:38:38Z,RAW_TLC_TRIPS_green,SKIP
a3f180e1-c2ad-474e-b917-c41d98355f9c,yellow,2015,"1,2,3,4,5,6,7,8,9,10,11,12",145987396,2025-10-18T14:00:39Z,RAW_TLC_TRIPS,SKIP
a0d9cb96-8438-4129-9a69-efafb2e2f071,yellow,2016,"1,2,3,4,5,6,7,8,9,10,11,12",131075747,2025-10-18T14:33:11Z,RAW_TLC_TRIPS,SKIP
f6491ac6-7b73-4c1c-bc1f-5256b3626a03,yellow,2017,"1,2,3,4,5,6,7,8,9,10,11,12",113444192,2025-10-18T15:29:38Z,RAW_TLC_TRIPS,SKIP
0c6f3584-11a8-4d56-b741-12797c9b213c,green,2017,"1,2,3,4,5,6,7,8,9,10,11,12",11710405,2025-10-18T15:37:45Z,RAW_TLC_TRIPS_green,SKIP
73253c0d-14ab-430e-a346-4bca8d8f5305,yellow,2021,"1,2,3,4,5,6,7,8,9,10,11,12",30779484,2025-10-18T18:36:11Z,RAW_TLC_TRIPS,SKIP
c2e711b5-3230-432b-b9f2-7951c63643c1,green,2021,"1,2,3,4,5,6,7,8,9,10,11,12",1066698,2025-10-18T21:30:11Z,RAW_TLC_TRIPS_green,SKIP
3567d12a-c4a8-4be1-b8e1-7c20a0b4b888,yellow,2018,"1,2,3,4,5,6,7,8,9,10,11,12",102797794,2025-10-18T22:41:54Z,RAW_TLC_TRIPS,SKIP
e610bf4d-4c2b-4d16-820a-1509da761ab7,yellow,2018,"1,2,3,4",35972012,2025-10-19T11:45:43Z,RAW_TLC_TRIPS,SKIP
5ab1f181-7941-450f-95fa-d171d2e0b852,yellow,2018,"5,6,7,8,9,10",50491805,2025-10-19T12:15:43Z,RAW_TLC_TRIPS,SKIP
