YEAR,MONTH,DO_ZONE,TRIPS
2098,9,TriBeCa/Civic Center,1
2090,12,Midtown North,1
2088,1,Midtown East,1
2088,1,Morningside Heights,1
2084,11,Upper West Side North,2
2084,11,Upper East Side South,1
2084,11,TriBeCa/Civic Center,1
2084,11,Upper East Side North,1
2084,11,East Chelsea,1
2084,11,Kips Bay,1
2084,11,Murray Hill,1
2081,6,Hammels/Arverne,1
2070,8,Queensbridge/Ravenswood,1
2066,12,JFK Airport,1
2062,8,,1
2058,12,Midtown Center,1
2058,12,Midtown East,1
2058,12,Midtown North,1
2053,7,,1
2053,3,DUMBO/Vinegar Hill,1
2042,12,Midtown East,1
2041,11,LaGuardia Airport,1
2041,8,Queensbridge/Ravenswood,1
2041,6,Manhattan Valley,1
2041,3,,1
2038,2,Greenwich Village South,1
2038,2,Lenox Hill East,1
2038,2,Upper West Side South,1
2038,2,Yorkville East,1
2037,11,Lincoln Square West,1
2035,9,Queensbridge/Ravenswood,1
2033,4,Lenox Hill West,1
2033,4,Kips Bay,1
2033,4,Central Park,1
2032,2,Sunset Park West,1
2031,2,Upper East Side North,1
2031,2,Upper East Side South,1
2030,11,Central Harlem North,1
2030,11,West Concourse,1
2029,11,,1
2029,11,Saint Michaels Cemetery/Woodside,1
2029,11,UN/Turtle Bay South,1
2029,11,Murray Hill,1
2029,5,East Williamsburg,1
2029,5,West Village,1
2029,5,Washington Heights South,1
2028,12,Murray Hill,1
2026,12,East Village,1
2026,6,UN/Turtle Bay South,1
2026,6,,1
2026,2,Central Park,1
2026,2,West Chelsea/Hudson Yards,1
2025,3,Upper West Side South,1
2025,3,Midtown North,1
2025,2,East Chelsea,1
2025,1,East Harlem South,2
2025,1,Cobble Hill,1
2025,1,Kew Gardens,1
2025,1,Central Harlem North,1
2025,1,Lenox Hill East,1
2025,1,East Chelsea,1
2025,1,Forest Hills,1
2025,1,Yorkville West,1
2025,1,East Tremont,1
2025,1,Lincoln Square East,1
2025,1,Upper East Side South,1
2025,1,Park Slope,1
2024,12,Upper East Side North,168176
2024,12,Upper East Side South,159833
2024,12,Midtown Center,138228
2024,12,Times Sq/Theatre District,113051
2024,12,Midtown East,106183
2024,12,Upper West Side South,104798
2024,12,Lincoln Square East,104359
2024,12,Murray Hill,100675
2024,12,Lenox Hill West,94903
2024,12,East Chelsea,94660
2024,12,Midtown North,91633
2024,12,Clinton East,89812
2024,12,Union Sq,84489
2024,12,Upper West Side North,83318
2024,12,Penn Station/Madison Sq West,82236
2024,12,Midtown South,81397
2024,12,Yorkville West,76542
2024,12,Sutton Place/Turtle Bay North,74092
2024,12,Lenox Hill East,71991
2024,12,East Village,70167
2024,12,Gramercy,69633
2024,12,West Chelsea/Hudson Yards,69152
2024,12,West Village,61940
2024,12,Yorkville East,57547
2024,12,TriBeCa/Civic Center,55272
2024,12,Lincoln Square West,53458
2024,12,Flatiron,51040
2024,12,UN/Turtle Bay South,50524
2024,12,Garment District,49673
2024,12,LaGuardia Airport,45647
2024,12,Greenwich Village North,45477
2024,12,Central Park,44787
2024,12,Kips Bay,43543
2024,12,East Harlem South,42476
2024,12,JFK Airport,41144
2024,12,Lower East Side,37857
2024,12,Meatpacking/West Village West,37102
2024,12,Little Italy/NoLiTa,36345
2024,12,Greenwich Village South,35522
2024,12,Clinton West,34277
2024,12,Manhattan Valley,32652
2024,12,SoHo,32107
2024,12,Financial District North,28804
2024,12,Battery Park City,27073
2024,12,Morningside Heights,25549
2024,12,East Harlem North,24810
2024,12,Central Harlem,22252
2024,12,World Trade Center,19566
2024,12,Hudson Sq,18306
2024,12,Outside of NYC,16118
2024,12,Two Bridges/Seward Park,15749
2024,12,Central Harlem North,14458
2024,12,,14310
