YEAR,MONTH,PU_BOROUGH,AVG_TOTAL_AMOUNT,AVG_TIP_PCT,TRIPS
2001,1,Brooklyn,8.8,0.0,1
2001,1,Manhattan,18.99,0.01,18
2001,1,Queens,49.9,0.03,5
2001,2,Queens,3.8,0.0,1
2001,8,Queens,24.55,0.0,1
2002,2,Manhattan,17.9,0.0,11
2002,10,Bronx,3.8,0.0,2
2002,10,Brooklyn,25.91,0.01,14
2002,10,EWR,92.14,0.06,3
2002,10,Manhattan,18.96,0.05,309
2002,10,Queens,44.46,0.05,78
2002,12,Brooklyn,31.3,0.0,1
2002,12,Manhattan,18.44,0.02,22
2002,12,Queens,43.28,0.07,20
2003,1,Manhattan,28.6,0.03,18
2003,1,Queens,32.81,0.04,22
2003,3,Queens,3.31,0.0,1
2003,12,Manhattan,7.3,0.0,1
2004,4,Manhattan,12.3,0.12,1
2008,8,Manhattan,2.83,0.17,2
2008,10,Queens,0.0,,1
2008,12,Bronx,16.97,0.0,3
2008,12,Brooklyn,19.44,0.03,47
2008,12,Manhattan,17.14,0.05,597
2008,12,Queens,38.48,0.06,205
2009,1,Bronx,20.9,0.0,21
2009,1,Brooklyn,19.08,0.03,97
2009,1,Manhattan,15.49,0.04,1092
2009,1,Queens,30.47,0.04,360
2010,8,Manhattan,18.36,0.17,1
2010,9,Bronx,21.97,0.03,77
2010,9,Brooklyn,27.53,0.06,29
2010,9,Manhattan,16.33,0.05,87
2010,9,Queens,15.23,0.05,151
2011,1,Manhattan,12.8,0.0,2
2011,2,Manhattan,14.98,0.08,2
2012,2,Queens,0.0,,1
2012,9,Manhattan,9.79,0.1,3
2014,11,Manhattan,52.38,0.17,1
2015,1,Bronx,12.87,0.02,101048
2015,1,Brooklyn,15.71,0.09,799195
2015,1,EWR,78.54,0.11,720
2015,1,Manhattan,13.75,0.09,12040439
2015,1,Queens,29.47,0.07,1048589
2015,1,Staten Island,32.74,0.06,411
2015,2,Bronx,13.0,0.02,133632
2015,2,Brooklyn,16.21,0.09,834359
2015,2,EWR,80.4,0.11,731
2015,2,Manhattan,13.99,0.1,11753900
2015,2,Queens,29.12,0.08,1032710
2015,2,Staten Island,31.46,0.08,456
2015,3,Bronx,13.12,0.02,150342
2015,3,Brooklyn,16.4,0.09,916481
2015,3,EWR,84.03,0.11,819
2015,3,Manhattan,14.22,0.1,12545475
2015,3,Queens,30.62,0.08,1184854
2015,3,Staten Island,27.19,0.09,641
2015,4,Bronx,13.65,0.02,129684
2015,4,Brooklyn,16.64,0.09,882896
2015,4,EWR,78.34,0.12,760
2015,4,Manhattan,14.4,0.09,12325940
2015,4,Queens,31.01,0.07,1154260
2015,4,Staten Island,29.07,0.07,402
2015,5,Bronx,13.86,0.02,135509
2015,5,Brooklyn,17.08,0.09,958957
2015,5,EWR,84.76,0.12,864
2015,5,Manhattan,14.65,0.09,12376279
2015,5,Queens,31.48,0.07,1254296
2015,5,Staten Island,24.14,0.06,425
2015,6,Bronx,13.93,0.03,119471
2015,6,Brooklyn,16.74,0.09,835688
2015,6,EWR,83.58,0.13,749
2015,6,Manhattan,14.56,0.09,11624135
2015,6,Queens,31.7,0.08,1187480
2015,6,Staten Island,30.12,0.08,353
2015,7,Bronx,14.19,0.03,107955
2015,7,Brooklyn,16.68,0.09,770293
2015,7,EWR,79.62,0.11,695
2015,7,Manhattan,14.34,0.09,10919572
2015,7,Queens,31.24,0.07,1126328
2015,7,Staten Island,31.64,0.07,334
2015,8,Bronx,14.42,0.03,100675
2015,8,Brooklyn,16.46,0.09,776760
2015,8,EWR,83.99,0.11,741
2015,8,Manhattan,14.24,0.09,10475702
2015,8,Queens,31.61,0.07,1132898
2015,8,Staten Island,35.86,0.06,356
2015,9,Bronx,14.27,0.03,92539
2015,9,Brooklyn,16.52,0.09,773684
2015,9,EWR,78.76,0.11,779
2015,9,Manhattan,14.57,0.09,10571168
2015,9,Queens,32.48,0.08,1108878
2015,9,Staten Island,36.39,0.09,307
2015,10,Bronx,14.15,0.03,94424
2015,10,Brooklyn,16.41,0.09,837952
2015,10,EWR,80.88,0.11,857
2015,10,Manhattan,14.64,0.1,11640155
2015,10,Queens,32.67,0.08,1174292
2015,10,Staten Island,32.5,0.08,274
2015,11,Bronx,13.84,0.03,86658
2015,11,Brooklyn,16.33,0.09,768158
2015,11,EWR,84.3,0.12,848
2015,11,Manhattan,14.49,0.1,10699877
2015,11,Queens,32.07,0.08,1092372
2015,11,Staten Island,41.81,0.08,299
2015,12,Bronx,14.17,0.03,93583
2015,12,Brooklyn,18.34,0.09,796539
2015,12,EWR,80.02,0.12,907
2015,12,Manhattan,14.52,0.1,10878190
2015,12,Queens,30.99,0.08,1107587
2015,12,Staten Island,51.54,0.09,352
2016,1,Bronx,14.07,0.03,79971
2016,1,Brooklyn,15.9,0.09,752809
2016,1,EWR,86.73,0.11,637
2016,1,Manhattan,13.83,0.1,10303345
2016,1,Queens,31.48,0.08,1026422
2016,1,Staten Island,36.96,0.09,447
2016,2,Bronx,13.66,0.03,87523
2016,2,Brooklyn,15.77,0.09,769830
2016,2,EWR,83.61,0.12,614
2016,2,Manhattan,13.95,0.1,10834961
2016,2,Queens,31.0,0.08,999409
2016,2,Staten Island,26.09,0.1,811
2016,3,Bronx,13.63,0.03,98865
2016,3,Brooklyn,16.14,0.09,812855
2016,3,EWR,82.43,0.11,756
2016,3,Manhattan,14.28,0.1,11560397
2016,3,Queens,31.93,0.08,1107575
2016,3,Staten Island,26.68,0.1,902
2016,4,Bronx,14.34,0.03,90733
2016,4,Brooklyn,16.37,0.1,819219
2016,4,EWR,85.16,0.1,828
2016,4,Manhattan,14.46,0.1,11288833
2016,4,Queens,31.73,0.08,1082409
2016,4,Staten Island,26.71,0.09,976
2016,5,Bronx,14.59,0.03,87885
2016,5,Brooklyn,16.71,0.1,842929
2016,5,EWR,81.28,0.12,842
2016,5,Manhattan,14.74,0.1,11138904
2016,5,Queens,32.79,0.08,1133035
2016,5,Staten Island,28.77,0.08,1099
2016,6,Bronx,14.9,0.03,78473
2016,6,Brooklyn,16.71,0.09,752400
2016,6,EWR,82.58,0.12,799
2016,6,Manhattan,14.85,0.1,10478625
2016,6,Queens,33.66,0.08,1070611
2016,6,Staten Island,36.71,0.08,1094
2016,7,Bronx,15.23,0.03,70491
2016,7,Brooklyn,16.62,0.09,692787
2016,7,EWR,86.24,0.12,753
2016,7,Manhattan,14.61,0.1,9687481
2016,7,Queens,32.39,0.08,1026084
2016,7,Staten Island,38.73,0.08,1060
2016,8,Bronx,15.35,0.03,63440
2016,8,Brooklyn,16.49,0.09,636829
2016,8,EWR,83.22,0.1,779
2016,8,Manhattan,14.47,0.1,9366295
2016,8,Queens,33.01,0.08,976180
2016,8,Staten Island,26.64,0.08,847
2016,9,Bronx,15.32,0.03,61596
2016,9,Brooklyn,16.61,0.09,592362
2016,9,EWR,86.04,0.11,817
2016,9,Manhattan,15.09,0.1,9520004
2016,9,Queens,34.35,0.08,956770
2016,9,Staten Island,24.91,0.09,767
2016,10,Bronx,14.98,0.03,57062
2016,10,Brooklyn,16.36,0.09,634922
2016,10,EWR,86.77,0.11,873
2016,10,Manhattan,14.75,0.1,10250147
2016,10,Queens,33.38,0.08,997585
2016,10,Staten Island,31.44,0.09,634
2016,11,Bronx,14.68,0.03,52724
2016,11,Brooklyn,16.0,0.09,553079
2016,11,EWR,88.79,0.12,837
