YEAR,MONTH,SERVICE_TYPE,AVG_TICKET,TRIPS
2001,1,yellow,24.16,25
2001,2,yellow,3.8,1
2001,8,yellow,24.55,1
2002,2,yellow,17.9,11
2002,10,yellow,25.42,425
2002,12,yellow,27.97,47
2003,1,yellow,25.97,48
2003,3,yellow,3.31,1
2003,12,yellow,7.3,1
2004,4,yellow,12.3,1
2008,8,yellow,2.83,2
2008,10,green,0.0,1
2008,12,green,13.55,112
2008,12,yellow,23.33,762
2009,1,green,16.36,312
2009,1,yellow,19.74,1290
2010,8,yellow,18.36,1
2010,9,green,17.98,347
2011,1,yellow,12.8,2
2011,2,yellow,14.98,2
2012,2,yellow,0.0,1
2012,9,green,9.79,3
2014,11,yellow,52.38,1
2015,1,green,14.79,1506170
2015,1,yellow,15.11,12736421
2015,2,green,14.5,1572537
2015,2,yellow,15.4,12438062
2015,3,green,14.58,1720123
2015,3,yellow,15.85,13338252
2015,4,green,14.82,1661980
2015,4,yellow,16.04,13059356
2015,5,green,15.26,1784234
2015,5,yellow,16.43,13153034
2015,6,green,14.96,1636371
2015,6,yellow,16.38,12320378
2015,7,green,14.91,1539166
2015,7,yellow,16.15,11555446
2015,8,green,14.94,1529838
2015,8,yellow,16.16,11118856
2015,9,green,15.04,1492519
2015,9,yellow,16.49,11213796
2015,10,green,14.89,1627609
2015,10,yellow,16.53,12302672
2015,11,green,14.7,1526932
2015,11,yellow,16.36,11298731
2015,12,green,14.75,1605154
2015,12,yellow,16.43,11448473
2016,1,green,14.43,1442315
2016,1,yellow,15.64,10900817
2016,2,green,14.21,1507818
2016,2,yellow,15.61,11371090
2016,3,green,14.48,1573189
2016,3,yellow,16.05,12199140
2016,4,green,14.76,1540970
2016,4,yellow,16.2,11922808
2016,5,green,15.08,1533970
2016,5,yellow,16.65,11827183
2016,6,green,15.1,1402061
2016,6,yellow,16.83,11126864
2016,7,green,15.0,1329809
2016,7,yellow,16.6,10289546
2016,8,green,14.86,1244959
2016,8,yellow,16.48,9937581
2016,9,green,14.91,1160100
2016,9,yellow,17.17,10111420
2016,10,green,14.62,1250120
2016,10,yellow,16.66,10849732
2016,11,green,14.28,1145746
2016,11,yellow,16.63,10095681
2016,12,green,14.0,1221366
2016,12,yellow,16.22,10441705
2017,1,green,13.64,1067219
2017,1,yellow,15.53,9706274
2017,2,green,13.81,1019956
2017,2,yellow,15.64,9165491
2017,3,green,13.83,1155241
2017,3,yellow,16.23,10290491
2017,4,green,14.11,1078443
2017,4,yellow,16.36,10042085
2017,5,green,14.38,1057169
2017,5,yellow,16.77,10097102
2017,6,green,14.52,974333
2017,6,yellow,16.65,9652307
2017,7,green,14.49,912709
2017,7,yellow,16.38,8583832
2017,8,green,14.52,865390
2017,8,yellow,16.48,8417789
2017,9,green,14.88,880410
