PICKUP_HOUR,DAY_OF_WEEK,TRIPS
19,Fri,8085381
18,Fri,8079215
18,Thu,8065882
18,Wed,7969811
19,Thu,7889838
18,Tue,7866078
19,Wed,7747710
21,Thu,7527772
20,Thu,7490767
19,Sat,7477011
19,Tue,7414601
18,Sat,7400524
18,Mon,7271765
21,Wed,7267044
20,Wed,7266850
22,Fri,7178517
22,Thu,7088315
20,Fri,7078196
17,Fri,7066933
17,Thu,7019118
20,Tue,6966762
17,Wed,6966428
21,Fri,6929618
21,Tue,6929545
23,Fri,6920020
23,Sat,6902951
17,Tue,6880626
22,Sat,6842612
17,Sat,6805654
19,Mon,6696353
14,Thu,6637183
22,Wed,6632113
14,Fri,6598798
17,Mon,6587674
15,Sat,6547388
15,Thu,6546491
15,Fri,6499734
13,Sat,6496437
14,Wed,6489408
15,Wed,6442732
8,Wed,6434002
8,Thu,6424591
20,Sat,6420112
14,Sat,6401135
15,Tue,6390203
14,Tue,6388196
21,Sat,6362765
12,Sat,6345180
16,Sat,6315899
8,Tue,6276766
0,Sun,6253055
13,Thu,6178438
9,Thu,6169792
9,Wed,6168077
12,Thu,6152563
0,Sat,6134473
13,Wed,6127885
15,Mon,6119438
18,Sun,6113760
12,Wed,6112858
14,Sun,6111973
22,Tue,6111560
20,Mon,6072756
16,Fri,6053250
9,Tue,6036239
17,Sun,6031837
13,Sun,6020334
13,Fri,6020046
16,Thu,6014769
12,Fri,5989987
8,Fri,5987761
14,Mon,5983026
15,Sun,5969781
16,Wed,5964434
23,Thu,5949750
16,Tue,5935963
12,Sun,5933686
13,Tue,5922616
12,Tue,5886259
11,Thu,5873003
9,Fri,5868383
16,Sun,5860697
11,Wed,5845613
16,Mon,5824245
11,Sat,5819714
10,Thu,5786452
21,Mon,5778452
11,Fri,5760321
10,Wed,5742478
11,Tue,5634409
10,Tue,5610579
10,Fri,5606122
8,Mon,5588801
1,Sun,5523805
13,Mon,5518957
19,Sun,5511253
9,Mon,5437438
12,Mon,5429908
11,Sun,5421933
7,Thu,5259324
