PICKUP_HOUR,PAYMENT_TYPE_DESC,TRIPS,AVG_TIP,AVG_TIP_PCT
0,Credit Card,18310150,2.98,0.15
0,Cash,8125794,0.0,0.0
0,Unknown,344766,1.36,0.05
0,No Charge,147116,0.01,0.0
0,Dispute,87972,0.03,0.0
0,,11856,1.64,0.06
1,Credit Card,12957228,2.77,0.15
1,Cash,5971306,0.0,0.0
1,Unknown,222922,1.34,0.05
1,No Charge,120965,0.0,0.0
1,Dispute,69039,0.04,0.0
1,,7261,1.56,0.06
2,Credit Card,9122892,2.63,0.15
2,Cash,4408019,0.0,0.0
2,Unknown,154073,1.43,0.05
2,No Charge,100488,0.01,0.0
2,Dispute,54252,0.05,0.0
2,,5309,1.58,0.06
3,Credit Card,6282005,2.69,0.14
3,Cash,3441283,0.0,0.0
3,Unknown,124113,1.67,0.05
3,No Charge,88142,0.01,0.0
3,Dispute,45600,0.07,0.0
3,,8289,1.16,0.04
4,Credit Card,4245263,3.3,0.14
4,Cash,3153061,0.0,0.0
4,Unknown,160991,2.21,0.05
4,No Charge,83518,0.0,0.0
4,Dispute,39286,0.05,0.0
4,,21563,1.02,0.03
5,Credit Card,4569627,3.76,0.14
5,Cash,2828036,0.0,0.0
5,Unknown,155289,2.44,0.06
5,No Charge,69048,0.0,0.0
5,,32504,0.88,0.02
5,Dispute,28824,0.04,0.0
6,Credit Card,10948540,2.95,0.15
6,Cash,5220845,0.0,0.0
6,Unknown,276846,1.9,0.05
6,No Charge,93394,0.0,0.0
6,,60196,0.76,0.02
6,Dispute,40613,0.02,0.0
7,Credit Card,20066529,2.68,0.15
7,Cash,7764897,0.0,0.0
7,Unknown,423543,1.8,0.06
7,No Charge,109273,0.04,0.0
7,,97106,0.82,0.03
7,Dispute,52740,0.02,0.0
8,Credit Card,25920061,2.69,0.15
8,Cash,9303647,0.0,0.0
8,Unknown,511538,262.61,0.06
8,,134624,0.85,0.03
8,No Charge,122839,0.0,0.0
8,Dispute,64190,0.03,0.0
9,Credit Card,25957067,2.77,0.15
9,Cash,10696424,0.0,0.0
9,Unknown,401328,112.69,5.33
9,,158206,0.79,0.03
9,No Charge,138112,0.0,0.0
9,Dispute,77118,0.01,0.0
10,Credit Card,24768160,2.87,0.15
10,Cash,12195832,0.0,0.0
10,Unknown,344164,1.95,0.07
10,,159940,0.76,0.03
10,No Charge,153533,0.0,0.0
10,Dispute,89549,0.02,0.0
11,Credit Card,25512532,2.93,0.15
11,Cash,13216811,0.0,0.0
11,Unknown,366271,1.94,0.07
11,No Charge,166675,-0.01,0.0
11,,150189,0.79,0.03
11,Dispute,98617,0.02,0.0
12,Credit Card,26985104,2.97,0.15
12,Cash,14011138,0.0,0.0
12,Unknown,415545,1.9,0.07
12,No Charge,182237,0.0,0.0
12,,148633,0.8,0.03
12,Dispute,107784,0.01,0.0
13,Credit Card,27084458,3.07,0.15
13,Cash,14313582,0.0,0.0
13,Unknown,435806,1.95,0.06
13,No Charge,195581,0.0,0.0
13,,140076,0.83,0.03
13,Dispute,115210,0.01,0.0
14,Credit Card,28575940,3.16,0.15
14,Cash,15114600,0.0,0.0
14,Unknown,449765,2.02,0.06
14,No Charge,212889,0.0,0.0
14,,131505,0.88,0.03
14,Dispute,125020,0.03,0.0
15,Credit Card,28571886,3.18,0.15
15,Cash,15013409,0.0,0.0
15,Unknown,462341,2.09,0.06
15,No Charge,224086,0.0,0.0
15,Dispute,130573,0.03,0.0
15,,113472,0.94,0.03
16,Credit Card,27233189,3.34,0.15
16,Cash,13809956,0.0,0.0
16,Unknown,472300,2.09,0.06
16,No Charge,219873,0.0,0.0
16,Dispute,131092,0.03,0.0
16,,102847,0.95,0.03
17,Credit Card,31648046,3.14,0.15
17,Cash,14685776,0.0,0.0
17,Unknown,579334,1.86,0.06
17,No Charge,221813,0.0,0.0
17,Dispute,134856,0.02,0.0
17,,88445,1.0,0.04
18,Credit Card,36198449,2.95,0.15
18,Cash,15518502,0.0,0.0
18,Unknown,620063,1.71,0.06
18,No Charge,220533,0.0,0.0
18,Dispute,138235,0.02,0.0
18,,71253,1.01,0.04
19,Credit Card,35261987,2.98,0.15
19,Cash,14649465,0.0,0.0
19,Unknown,519084,1.54,0.06
19,No Charge,206663,0.69,0.0
19,Dispute,131537,0.03,0.0
19,,53411,1.03,0.04
20,Credit Card,32514197,2.9,0.15
20,Cash,12967941,0.0,0.0
20,Unknown,449358,1.37,0.05
20,No Charge,186664,0.01,0.0
20,Dispute,120367,0.03,0.0
20,,42832,0.97,0.04
21,Credit Card,32044437,2.99,0.15
21,Cash,12654381,0.0,0.0
21,Unknown,473227,1.37,0.05
21,No Charge,181625,0.0,0.0
21,Dispute,117674,0.03,0.0
21,,35503,0.96,0.04
22,Credit Card,30199760,3.04,0.15
22,Cash,11918510,0.0,0.0
22,Unknown,530398,1.41,0.05
22,No Charge,175403,0.0,0.0
22,Dispute,114072,0.03,0.0
22,,30704,1.16,0.04
23,Credit Card,24868805,3.07,0.15
23,Cash,10366334,0.0,0.0
23,Unknown,489140,1.37,0.05
23,No Charge,166745,0.0,0.0
23,Dispute,105491,0.04,0.0
23,,23824,1.24,0.05
