PU_BOROUGH,PICKUP_HOUR,TRIPS,YIELD_PER_MILE,AVG_AMOUNT,AVG_DISTANCE
EWR,17,1732,1685.93,89.2,5.4
EWR,6,1068,1648.13,82.25,4.43
EWR,18,1415,1558.96,89.59,5.36
EWR,15,2139,1544.56,85.12,5.37
EWR,14,1865,1536.76,88.29,5.16
EWR,16,2112,1515.85,89.7,5.21
EWR,9,741,1438.86,87.18,6.94
EWR,7,898,1414.84,86.61,6.2
EWR,19,1070,1410.54,86.33,5.94
EWR,8,728,1401.85,83.28,5.45
EWR,5,836,1349.74,79.22,5.11
EWR,4,478,1330.39,78.59,4.67
EWR,13,1353,1326.75,85.78,5.76
EWR,12,1119,1306.38,91.41,6.07
EWR,11,870,1221.07,87.88,6.4
EWR,20,579,1146.65,88.76,6.98
EWR,10,703,1138.01,87.65,7.17
EWR,3,173,806.29,71.16,5.4
EWR,22,189,767.4,93.39,10.09
EWR,23,142,733.7,94.76,9.79
EWR,21,272,648.12,77.07,9.38
EWR,2,84,636.05,74.15,6.81
EWR,1,66,604.71,89.57,9.69
EWR,0,101,603.31,91.8,12.97
Staten Island,3,667,91.85,42.92,10.33
Staten Island,23,1070,78.07,46.73,149.75
Staten Island,22,1249,76.42,54.67,25.36
Staten Island,4,856,70.76,51.09,13.04
Staten Island,1,925,68.96,46.63,11.09
Staten Island,2,712,67.13,40.4,9.6
Staten Island,21,1256,62.02,52.5,12.77
Staten Island,5,1391,39.84,54.15,13.8
Staten Island,19,1586,39.74,50.2,51.53
Staten Island,0,1008,38.85,49.83,12.92
Staten Island,20,1474,38.55,53.62,13.58
Staten Island,17,2564,38.02,61.21,15.7
Staten Island,18,1955,35.43,55.77,13.98
Staten Island,14,2405,29.62,51.77,12.95
Staten Island,16,2708,29.01,60.44,86.4
Queens,5,947273,26.53,36.05,13.73
Staten Island,15,2288,26.47,50.18,12.42
Staten Island,10,2503,26.14,52.33,14.29
Staten Island,9,2544,23.64,48.67,12.78
Staten Island,13,2503,23.45,53.13,59.29
Staten Island,11,2789,21.0,56.5,15.77
Staten Island,8,2064,19.27,44.05,11.41
Staten Island,12,2696,18.03,54.25,16.96
Bronx,2,68358,15.65,16.11,13.52
Bronx,3,58443,14.61,18.76,12.15
Bronx,1,95034,14.5,15.57,5.76
Queens,16,4092791,13.55,45.17,15.67
Bronx,17,279972,13.32,18.96,11.6
Bronx,4,70133,13.3,22.6,71.05
Bronx,20,188653,13.22,17.81,11.59
Queens,6,1495724,13.08,40.59,21.55
Bronx,0,127239,13.04,15.97,5.44
Bronx,19,215397,12.85,17.58,11.89
Staten Island,6,1960,12.84,53.61,15.46
Queens,4,771520,12.69,20.17,7.83
Staten Island,7,1757,12.64,43.28,36.78
Bronx,21,179870,12.63,18.24,14.27
Bronx,18,254744,12.52,17.82,11.9
Queens,15,3882959,12.47,43.67,13.28
Bronx,23,156740,12.44,17.54,9.11
Bronx,5,84649,12.42,26.92,60.64
Bronx,16,273957,12.37,20.17,13.9
Bronx,22,170214,12.21,18.33,15.11
Bronx,15,277337,12.14,19.71,18.9
Bronx,6,141875,11.85,28.12,56.05
Bronx,8,298953,11.85,20.07,37.86
Bronx,13,249243,11.83,20.36,22.85
Bronx,9,281474,11.79,20.46,28.22
Queens,17,4148282,11.75,42.85,13.52
Bronx,14,269272,11.73,19.99,20.8
Bronx,10,254598,11.66,20.83,34.13
Manhattan,16,35191994,11.65,17.05,4.08
Queens,14,3741410,11.43,43.66,12.34
Bronx,11,243931,11.39,20.92,26.57
Manhattan,17,40245675,11.32,16.68,4.09
Bronx,7,236863,11.26,22.73,52.37
Manhattan,18,45369687,11.02,16.0,3.59
Queens,13,3239658,11.0,42.54,12.17
Queens,18,4113747,10.98,40.33,13.14
Brooklyn,16,1452905,10.86,18.73,8.39
Brooklyn,17,1668489,10.85,17.87,6.09
Bronx,12,248778,10.84,20.58,22.47
Queens,7,2038190,10.51,40.52,15.85
Queens,12,2943013,10.43,41.23,13.07
Manhattan,15,37993363,10.4,16.27,4.89
Manhattan,19,43570753,10.34,15.55,4.7
Brooklyn,18,1961106,10.33,16.58,4.95
Manhattan,13,36710645,10.29,16.03,4.34
Manhattan,12,36612178,10.24,15.7,3.62
Manhattan,14,38344990,10.21,16.27,4.57
Manhattan,11,34550332,10.19,15.53,2.98
Manhattan,10,32728965,9.94,15.26,4.45
Brooklyn,15,1395184,9.91,18.42,8.62
Manhattan,9,32578082,9.87,15.15,4.23
Brooklyn,19,1985622,9.85,15.82,4.85
Brooklyn,12,1189412,9.82,19.1,9.72
